"if (c.content_name is null,t.title,c.content_name)",concept,tfidf
ae_BJ4_ch01_s05_HelloPrinter,ClassDefinition,0.026056499758593
ae_BJ4_ch01_s05_HelloPrinter,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch01_s05_HelloPrinter,java.lang.System.out.println,0.265865578496081
ae_BJ4_ch01_s05_HelloPrinter,MethodDefinition,0.0411311406108416
ae_BJ4_ch01_s05_HelloPrinter,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch01_s05_HelloPrinter,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch01_s05_HelloPrinter,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch01_s05_HelloPrinter,StringDataType,0.225937631589153
ae_BJ4_ch01_s05_HelloPrinter,StringLiteral,0.228882012342328
ae_BJ4_ch01_s05_HelloPrinter,VoidDataType,0.0430528007596662
ae_BJ4_ch01_s05_PrintTester,ActualMethodParameter,0.725327955004368
ae_BJ4_ch01_s05_PrintTester,AddExpression,1.30381272785194
ae_BJ4_ch01_s05_PrintTester,ClassDefinition,0.026056499758593
ae_BJ4_ch01_s05_PrintTester,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch01_s05_PrintTester,java.lang.System.out.print,0.933801349168874
ae_BJ4_ch01_s05_PrintTester,java.lang.System.out.println,1.3293278924804
ae_BJ4_ch01_s05_PrintTester,MethodDefinition,0.0411311406108416
ae_BJ4_ch01_s05_PrintTester,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch01_s05_PrintTester,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch01_s05_PrintTester,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch01_s05_PrintTester,StringDataType,0.903750526356612
ae_BJ4_ch01_s05_PrintTester,StringLiteral,0.915528049369311
ae_BJ4_ch01_s05_PrintTester,VoidDataType,0.0430528007596662
ae_BJ4_ch02_s03_VariableDemo,ActualMethodParameter,0.967103940005824
ae_BJ4_ch02_s03_VariableDemo,AddExpression,1.30381272785194
ae_BJ4_ch02_s03_VariableDemo,ClassDefinition,0.026056499758593
ae_BJ4_ch02_s03_VariableDemo,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch02_s03_VariableDemo,IntDataType,0.448945786487343
ae_BJ4_ch02_s03_VariableDemo,java.lang.System.out.print,3.7352053966755
ae_BJ4_ch02_s03_VariableDemo,java.lang.System.out.println,1.06346231398432
ae_BJ4_ch02_s03_VariableDemo,MethodDefinition,0.0411311406108416
ae_BJ4_ch02_s03_VariableDemo,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch02_s03_VariableDemo,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch02_s03_VariableDemo,SimpleAssignmentExpression,0.14888194745205
ae_BJ4_ch02_s03_VariableDemo,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch02_s03_VariableDemo,StringDataType,0.903750526356612
ae_BJ4_ch02_s03_VariableDemo,StringLiteral,0.915528049369311
ae_BJ4_ch02_s03_VariableDemo,VoidDataType,0.0430528007596662
ae_BJ4_ch02_s05_MethodDemo,StringInitializationStatement,2.21232947145074
ae_BJ4_ch02_s05_MethodDemo,StringLiteral,1.37329207405397
ae_BJ4_ch02_s05_MethodDemo,StringVariable,1.35208008722259
ae_BJ4_ch02_s05_MethodDemo,VoidDataType,0.0430528007596662
ae_BJ4_ch02_s05_MethodDemo,ActualMethodParameter,0.967103940005824
ae_BJ4_ch02_s05_MethodDemo,ClassDefinition,0.026056499758593
ae_BJ4_ch02_s05_MethodDemo,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch02_s05_MethodDemo,IntDataType,0.224472893243672
ae_BJ4_ch02_s05_MethodDemo,java.lang.String.length,3.16657198089006
ae_BJ4_ch02_s05_MethodDemo,java.lang.String.replace,1.9982593384237
ae_BJ4_ch02_s05_MethodDemo,java.lang.System.out.print,2.80140404750662
ae_BJ4_ch02_s05_MethodDemo,java.lang.System.out.println,1.06346231398432
ae_BJ4_ch02_s05_MethodDemo,MethodDefinition,0.0411311406108416
ae_BJ4_ch02_s05_MethodDemo,ObjectMethodInvocation,0.394033285286904
ae_BJ4_ch02_s05_MethodDemo,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch02_s05_MethodDemo,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch02_s05_MethodDemo,SimpleAssignmentExpression,0.11910555796164
ae_BJ4_ch02_s05_MethodDemo,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch02_s05_MethodDemo,StringDataType,1.35562578953492
ae_BJ4_ch02_s06_ConstructorDemo,ActualMethodParameter,0.725327955004368
ae_BJ4_ch02_s06_ConstructorDemo,ClassDefinition,0.026056499758593
ae_BJ4_ch02_s06_ConstructorDemo,ConstructorCall,1.38510268746232
ae_BJ4_ch02_s06_ConstructorDemo,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch02_s06_ConstructorDemo,ImportStatement,0.733441515393232
ae_BJ4_ch02_s06_ConstructorDemo,java.lang.System.out.print,1.86760269833775
ae_BJ4_ch02_s06_ConstructorDemo,java.lang.System.out.println,0.797596735488243
ae_BJ4_ch02_s06_ConstructorDemo,MethodDefinition,0.0411311406108416
ae_BJ4_ch02_s06_ConstructorDemo,ObjectCreationStatement,1.38510268746232
ae_BJ4_ch02_s06_ConstructorDemo,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch02_s06_ConstructorDemo,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch02_s06_ConstructorDemo,SimpleAssignmentExpression,0.05955277898082
ae_BJ4_ch02_s06_ConstructorDemo,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch02_s06_ConstructorDemo,StringDataType,0.451875263178306
ae_BJ4_ch02_s06_ConstructorDemo,StringLiteral,0.457764024684656
ae_BJ4_ch02_s06_ConstructorDemo,VoidDataType,0.0430528007596662
ae_BJ4_ch02_s07_AccessorMutatorDemo,ActualMethodParameter,1.20887992500728
ae_BJ4_ch02_s07_AccessorMutatorDemo,ClassDefinition,0.026056499758593
ae_BJ4_ch02_s07_AccessorMutatorDemo,ConstructorCall,0.461700895820774
ae_BJ4_ch02_s07_AccessorMutatorDemo,DoubleDataType,0.636531502345061
ae_BJ4_ch02_s07_AccessorMutatorDemo,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch02_s07_AccessorMutatorDemo,ImportStatement,0.733441515393232
ae_BJ4_ch02_s07_AccessorMutatorDemo,java.lang.System.out.print,3.7352053966755
ae_BJ4_ch02_s07_AccessorMutatorDemo,java.lang.System.out.println,1.06346231398432
ae_BJ4_ch02_s07_AccessorMutatorDemo,MethodDefinition,0.0411311406108416
ae_BJ4_ch02_s07_AccessorMutatorDemo,ObjectCreationStatement,0.461700895820774
ae_BJ4_ch02_s07_AccessorMutatorDemo,ObjectMethodInvocation,0.788066570573808
ae_BJ4_ch02_s07_AccessorMutatorDemo,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch02_s07_AccessorMutatorDemo,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch02_s07_AccessorMutatorDemo,SimpleAssignmentExpression,0.05955277898082
ae_BJ4_ch02_s07_AccessorMutatorDemo,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch02_s07_AccessorMutatorDemo,StringDataType,0.903750526356612
ae_BJ4_ch02_s07_AccessorMutatorDemo,StringLiteral,0.915528049369311
ae_BJ4_ch02_s07_AccessorMutatorDemo,VoidDataType,0.0430528007596662
ae_BJ4_ch02_s09_MoveTester,ActualMethodParameter,0.967103940005824
ae_BJ4_ch02_s09_MoveTester,ClassDefinition,0.026056499758593
ae_BJ4_ch02_s09_MoveTester,ConstructorCall,0.461700895820774
ae_BJ4_ch02_s09_MoveTester,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch02_s09_MoveTester,ImportStatement,0.733441515393232
ae_BJ4_ch02_s09_MoveTester,java.lang.System.out.print,1.86760269833775
ae_BJ4_ch02_s09_MoveTester,java.lang.System.out.println,1.06346231398432
ae_BJ4_ch02_s09_MoveTester,MethodDefinition,0.0411311406108416
ae_BJ4_ch02_s09_MoveTester,ObjectCreationStatement,0.461700895820774
ae_BJ4_ch02_s09_MoveTester,ObjectMethodInvocation,1.18209985586071
ae_BJ4_ch02_s09_MoveTester,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch02_s09_MoveTester,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch02_s09_MoveTester,SimpleAssignmentExpression,0.02977638949041
ae_BJ4_ch02_s09_MoveTester,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch02_s09_MoveTester,StringDataType,0.903750526356612
ae_BJ4_ch02_s09_MoveTester,StringLiteral,0.915528049369311
ae_BJ4_ch02_s09_MoveTester,VoidDataType,0.0430528007596662
ae_BJ4_ch02_s10_CopyDemo,ActualMethodParameter,2.41775985001456
ae_BJ4_ch02_s10_CopyDemo,ClassDefinition,0.026056499758593
ae_BJ4_ch02_s10_CopyDemo,ConstructorCall,0.461700895820774
ae_BJ4_ch02_s10_CopyDemo,FormalMethodParameter,0.0459513284266959
ae_BJ4_ch02_s10_CopyDemo,ImportStatement,0.733441515393232
ae_BJ4_ch02_s10_CopyDemo,IntDataType,0.448945786487343
ae_BJ4_ch02_s10_CopyDemo,java.lang.System.out.print,7.47041079335099
ae_BJ4_ch02_s10_CopyDemo,java.lang.System.out.println,2.65865578496081
ae_BJ4_ch02_s10_CopyDemo,MethodDefinition,0.0411311406108416
ae_BJ4_ch02_s10_CopyDemo,ObjectCreationStatement,0.461700895820774
ae_BJ4_ch02_s10_CopyDemo,ObjectMethodInvocation,0.394033285286904
ae_BJ4_ch02_s10_CopyDemo,PublicClassSpecifier,0.0647720502610455
ae_BJ4_ch02_s10_CopyDemo,PublicMethodSpecifier,0.0440168287227507
ae_BJ4_ch02_s10_CopyDemo,SimpleAssignmentExpression,0.14888194745205
ae_BJ4_ch02_s10_CopyDemo,StaticMethodSpecifier,0.0729472468385856
ae_BJ4_ch02_s10_CopyDemo,StringDataType,2.25937631589153
ae_BJ4_ch02_s10_CopyDemo,StringLiteral,2.28882012342328
ae_BJ4_ch02_s10_CopyDemo,VoidDataType,0.0430528007596662
ae_BJ4_ch03_s01_CounterDemo,ActualMethodParameter,0.241775985001456
ae_BJ4_ch03_s01_CounterDemo,AddExpression,0.651906363925968
