jarray4,Arrays,medium,us13A11,RANDOM::BASELINE,nDCG,0.57,High
jarray4,Arrays,medium,us13A11,RANDOM::BASELINE,QMeasure,0.59,High
jarray4,Arrays,medium,us13A11,RANDOM::BASELINE,RMSE,0.56,High
jwhile3,Loops_while,medium,us13A11,RANDOM::BASELINE,AP,0.42,High
jwhile3,Loops_while,medium,us13A11,RANDOM::BASELINE,nDCG,0.57,High
jwhile3,Loops_while,medium,us13A11,RANDOM::BASELINE,QMeasure,0.59,High
jwhile3,Loops_while,medium,us13A11,RANDOM::BASELINE,RMSE,0.56,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A11,RANDOM::BASELINE,AP,0.89,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A11,RANDOM::BASELINE,nDCG,0.94,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A11,RANDOM::BASELINE,QMeasure,0.93,High
j2d_arrays1,Two-dimensional_Arrays,medium,us13A11,RANDOM::BASELINE,RMSE,0.4,High
jwhile4,Loops_while,medium,us13A11,RANDOM::BASELINE,AP,0.58,High
jwhile4,Loops_while,medium,us13A11,RANDOM::BASELINE,nDCG,0.82,High
jwhile4,Loops_while,medium,us13A11,RANDOM::BASELINE,QMeasure,0.68,High
jwhile4,Loops_while,medium,us13A11,RANDOM::BASELINE,RMSE,0.6,High
joperator1,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,AP,0.33,High
joperator1,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,nDCG,0.63,High
joperator1,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,QMeasure,0.6,High
joperator1,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,RMSE,0.63,High
jincrement,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,AP,1,High
jincrement,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,nDCG,1,High
jincrement,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,QMeasure,1,High
jincrement,Arithmetic_Operations,easy,us13A11,RANDOM::BASELINE,RMSE,0.6,High
jdouble1,Primitive_Data_Types Arithmetic_Operations ,easy,us13A11,RANDOM::BASELINE,AP,0.83,High
jdouble1,Primitive_Data_Types Arithmetic_Operations ,easy,us13A11,RANDOM::BASELINE,nDCG,0.88,High
jdouble1,Primitive_Data_Types Arithmetic_Operations ,easy,us13A11,RANDOM::BASELINE,QMeasure,0.92,High
jdouble1,Primitive_Data_Types Arithmetic_Operations ,easy,us13A11,RANDOM::BASELINE,RMSE,0.48,High
jfor2,Loops_for,easy,us13A11,RANDOM::BASELINE,AP,1,High
jfor2,Loops_for,easy,us13A11,RANDOM::BASELINE,nDCG,0.91,High
jfor2,Loops_for,easy,us13A11,RANDOM::BASELINE,QMeasure,0.86,High
jfor2,Loops_for,easy,us13A11,RANDOM::BASELINE,RMSE,0.25,High
jfor1,Loops_for,easy,us13A11,RANDOM::BASELINE,AP,0.64,High
jfor1,Loops_for,easy,us13A11,RANDOM::BASELINE,nDCG,0.81,High
jfor1,Loops_for,easy,us13A11,RANDOM::BASELINE,QMeasure,0.69,High
jfor1,Loops_for,easy,us13A11,RANDOM::BASELINE,RMSE,0.51,High
jarray2,Arrays,medium,us13A12,RANDOM::BASELINE,AP,0.68,High
jarray2,Arrays,medium,us13A12,RANDOM::BASELINE,nDCG,0.82,High
jarray2,Arrays,medium,us13A12,RANDOM::BASELINE,QMeasure,0.7,High
jarray2,Arrays,medium,us13A12,RANDOM::BASELINE,RMSE,0.48,High
jclasses_constructor,Classes,medium,us13A12,RANDOM::BASELINE,AP,1,High
jclasses_constructor,Classes,medium,us13A12,RANDOM::BASELINE,nDCG,1,High
jclasses_constructor,Classes,medium,us13A12,RANDOM::BASELINE,QMeasure,1,High
jclasses_constructor,Classes,medium,us13A12,RANDOM::BASELINE,RMSE,0.25,High
jarray1,Arrays,medium,us13A12,RANDOM::BASELINE,AP,0.95,High
