title,min(sline),max(eline)
1,0,0
22222,0,0
AccessorMutatorDemo,0,20
addition_applet,2,38
ae_arithmetic_v2,0,17
ae_arraylist2_v2,0,19
ae_array_demo,0,11
ae_BJ4_ch01_s05_HelloPrinter,0,3
ae_BJ4_ch01_s05_PrintTester,0,11
ae_BJ4_ch02_s03_VariableDemo,0,18
ae_BJ4_ch02_s05_MethodDemo,0,16
ae_BJ4_ch02_s06_ConstructorDemo,0,13
ae_BJ4_ch02_s07_AccessorMutatorDemo,0,19
ae_BJ4_ch02_s09_MoveTester,0,15
ae_BJ4_ch02_s10_CopyDemo,0,35
ae_BJ4_ch03_s01_CounterDemo,0,29
ae_BJ4_ch03_s06_BankAccountTester,0,32
ae_BJ4_ch03_s06_CashRegisterTester,0,34
ae_cash_register_constant_demo,0,15
ae_comparison_operators_v2,0,10
ae_concat_demo,0,5
ae_conditional_demo1,0,7
ae_constant_demo,0,4
ae_constant_math_demo,0,4
ae_decisions1_v2,0,17
ae_do_while_demo,0,10
ae_do_while_v2,0,8
ae_EnhancedForLoopDemo,0,14
ae_exception_v2,0,14
ae_for_demo,0,4
ae_inheritance_polymorphism_1,0,15
ae_inheritance_polymorphism_2,0,29
ae_JavaTutorial_4_1_3,0,10
ae_JavaTutorial_4_2_7,0,13
ae_JavaTutorial_4_6_6,0,10
ae_JavaTutorial_4_7_4,0,16
ae_JavaTutorial_4_7_5,0,8
ae_JavaTutorial_4_7_8,0,10
ae_jeg_interface1_v2,0,13
ae_Measure,0,44
ae_multidimarray_demo,0,8
ae_nested_for_demo,0,10
ae_nested_loops_v2,0,7
ae_primitive_datatype_demo,0,8
ae_relational_operators_v2,0,9
ae_simple_inheritance_1,0,21
ae_StringExample_v2,0,9
ae_switch_demo1,0,33
ae_switch_demo2,0,28
ae_tostring_demo,0,9
ae_unary_demo,0,17
ae_use_2darray_v2,0,3
ae_use_array_v2,0,6
ae_while_demo,0,9
ae_while_v2,0,7
ae_wrapper_class_v2,0,9
arithmetic,0,18
arithmetic_v2,0,12
arraylist1,0,3
arraylist1_v2,0,6
arraylist2,0,19
arraylist2_v2,0,18
ArrayListTester,0,17
array_declaration,0,0
array_declaration_v2,0,6
Bank,0,56
BankAccountTester,0,38
Bicycle,2,30
Bicycle_v2,0,22
boolean_declaration,0,1
boolean_declaration_v2,0,5
boolean_expression,0,2
boolean_expression_v2,0,6
boolean_operators,0,5
boolean_operators_v2,0,9
border_layout,2,65
button_test,2,55
CashRegisterConstantField,0,44
CashRegisterTester,0,56
checkbox_test,2,70
combobox_test,2,58
comparison_operators,2,11
comparison_operators_v2,0,9
CompoundAssignment,0,9
conditional_operators,2,8
conditional_operators_v2,0,5
Constants,0,6
Constants_v2,0,6
constant_v2,0,3
ConstructorDemo,0,14
cookie_example,2,81
CopyDemo,0,36
CounterDemo,0,29
CreateObjectDemo,2,27
CreateObjectDemo_v2,0,13
CreateString,0,0
CreateString_v2,0,6
create_2d_array,0,4
create_2d_array_v2,0,4
decisions1,2,19
decisions1_v2,0,17
Decision_If,0,3
Decision_If_v2,0,6
Decrement,0,13
demo_example,0,3
demo_example_version_1,0,4
do_while,2,8
do_while_v2,0,6
draw_arcs,2,33
draw_polygons,2,32
e1,0,0
e2,0,0
EnhancedForLoopDemo,0,18
example_demo1,0,2
exception_v2,0,14
flow_layout,2,77
fonts,2,53
for1_v2,0,3
get_request_example,1,21
get_servlet,2,24
GradeBook,0,47
grid_layout,2,60
HelloPrinter,0,4
HelloWorld2,0,6
HelloWorld2_v2,0,3
hjhj,0,0
ifelse2,0,4
ifelse2_v2,0,8
imple_multi,0,12
imple_multi_v2,0,12
increment,5,23
increment_v2,0,11
inheritance1,0,0
inheritance1_v2,0,0
inheritance_casting_1,0,18
inheritance_constructors_1,0,16
inheritance_polymorphism_1,0,15
inheritance_polymorphism_2,0,29
inheritance_test01,0,5
inner_v2,0,9
interfaceClassConversion,0,28
InterfacePolymorphism,0,49
io1_v2,0,10
IS17_abstract1,0,23
IS17_ArrayList1,0,31
IS17_ArrayList1_1,0,31
IS17_ArrayList1_2,0,31
IS17_ArrayList1_3,0,31
IS17_ArrayList1_4,0,31
IS17_ArrayList1_5,0,31
IS17_ArrayList1_6,0,31
IS17_ArrayList1_7,0,31
IS17_ArrayList2,0,22
IS17_ArrayList2_1,0,22
IS17_ArrayList2_2,0,22
IS17_ArrayList2_3,0,22
IS17_ArrayList2_4,0,22
IS17_ArrayList2_5,0,22
IS17_ArrayList2_6,0,22
IS17_ArrayList2_7,0,22
IS17_ArrayList3,0,14
IS17_ArrayList3_1,0,14
IS17_ArrayList3_2,0,14
IS17_ArrayList3_3,0,14
IS17_ArrayList3_4,0,14
IS17_ArrayList3_5,0,14
IS17_ArrayList3_6,0,14
IS17_ArrayList3_7,0,14
IS17_ArrayList3_8,0,14
IS17_eaxmple1,0,29
IS17_inher1,0,30
IS17_inheritance1_1,0,29
IS17_inheritance1_2,0,29
IS17_inheritance1_3,0,29
IS17_inheritance1_4,0,29
IS17_inheritance1_5,0,29
IS17_inheritance1_6,0,29
IS17_inheritance1_7,0,29
IS17_inheritance2_1,0,30
IS17_inheritance2_2,0,30
IS17_inheritance2_3,0,30
IS17_inheritance2_4,0,30
IS17_inheritance2_5,0,30
IS17_inheritance2_6,0,30
IS17_inheritance2_7,0,30
IS17_inheritance3_1,0,34
IS17_inheritance3_2,0,34
IS17_inheritance3_3,0,34
IS17_inheritance3_4,0,34
IS17_inheritance3_5,0,34
IS17_inheritance3_6,0,34
IS17_inheritance3_7,0,34
IS17_inheritance3_8,0,34
IS17_interface1,0,25
IS17_interface1_1,0,25
IS17_interface1_2,0,25
IS17_interface1_3,0,25
IS17_interface1_4,0,25
IS17_interface1_5,0,25
IS17_interface1_6,0,25
IS17_interface1_7,0,25
