P::GLOBAL::AS::GOAL,2,1.0,37.87,variables1_v2:1.0:37.87
P::GLOBAL::COS::GOAL,1,0.0,2.45,PrimitiveDataTypes_v2:0.0:2.45
P::LOCAL::AS::GOAL,2,0.0,2.45,PrimitiveDataTypes_v2:0.0:2.45
P::LOCAL::AS::GOAL,2,1.0,37.87,variables1_v2:1.0:37.87
P::LOCAL::COS::GOAL,2,0.0,2.45,PrimitiveDataTypes_v2:0.0:2.45
P::LOCAL::COS::GOAL,2,1.0,37.87,variables1_v2:1.0:37.87
NAIVE::LOCAL,2,1.0,4.86,array_declaration_v2:1.0:4.86
NAIVE::LOCAL,2,1.0,27.03,JavaTutorial_4_7_5:1.0:27.03
GLOBAL::AS,4,1.0,5.96,using_array_v2:1.0:5.96
GLOBAL::AS,4,1.0,4.86,array_declaration_v2:1.0:4.86
GLOBAL::AS,4,1.0,4.28,use_array_v2:1.0:4.28
GLOBAL::AS,4,0.0,3.24,JavaTutorial_4_7_6:0.0:3.24
GLOBAL::COS,2,1.0,4.86,array_declaration_v2:1.0:4.86
GLOBAL::COS,2,1.0,27.03,JavaTutorial_4_7_5:1.0:27.03
LOCAL::AS,2,1.0,5.96,using_array_v2:1.0:5.96
LOCAL::AS,2,1.0,4.86,array_declaration_v2:1.0:4.86
LOCAL::COS,1,1.0,5.96,using_array_v2:1.0:5.96
P::GLOBAL::AS,4,1.0,5.96,using_array_v2:1.0:5.96
P::GLOBAL::AS,4,1.0,4.86,array_declaration_v2:1.0:4.86
P::GLOBAL::AS,4,1.0,4.28,use_array_v2:1.0:4.28
P::GLOBAL::AS,4,0.0,3.24,JavaTutorial_4_7_6:0.0:3.24
P::GLOBAL::COS,4,1.0,5.96,using_array_v2:1.0:5.96
P::GLOBAL::COS,4,1.0,4.86,array_declaration_v2:1.0:4.86
P::GLOBAL::COS,4,1.0,4.28,use_array_v2:1.0:4.28
P::GLOBAL::COS,4,0.0,3.24,JavaTutorial_4_7_6:0.0:3.24
P::LOCAL::COS,1,1.0,5.96,using_array_v2:1.0:5.96
P::GLOBAL::AS::GOAL,3,1.0,4.86,array_declaration_v2:1.0:4.86
P::GLOBAL::AS::GOAL,3,0.0,3.24,JavaTutorial_4_7_6:0.0:3.24
P::GLOBAL::AS::GOAL,3,1.0,5.96,using_array_v2:1.0:5.96
P::GLOBAL::COS::GOAL,3,0.0,3.24,JavaTutorial_4_7_6:0.0:3.24
P::GLOBAL::COS::GOAL,3,1.0,4.86,array_declaration_v2:1.0:4.86
P::GLOBAL::COS::GOAL,3,1.0,6.27,JavaTutorial_4_7_2:1.0:6.27
P::LOCAL::AS::GOAL,2,1.0,4.28,use_array_v2:1.0:4.28
P::LOCAL::AS::GOAL,2,1.0,4.86,array_declaration_v2:1.0:4.86
