user_id,minRating,maxRating
us13A01,0,3
us13A02,1,3
us13A03,1,3
us13A04,1,3
us13A05,1,2
us13A06,1,3
us13A07,0,3
us13A08,0,3
us13A09,0,3
us13A10,1,3
us13A11,0,3
us13A12,1,2
us13B01,0,3
us13B02,0,3
us13B03,0,3
us13B04,0,3
us13B05,0,3
us13B06,0,3
us13B07,0,3
us13B08,0,3
us13B09,1,3
us13B10,0,3
us13B11,0,3
us13B12,0,3
us13B13,0,3
us13B14,0,3
us13B15,0,3
us13C01,1,3
us13C02,0,3
us13C03,0,3
us13C04,0,3
us13C05,0,3
us13C06,1,3
us13C07,1,3
us13C08,0,3
us13C09,0,3
us13C10,1,3
us13C11,0,3
us13C12,0,3
us13C13,0,3
us13C14,0,3
us13C15,1,3
